公司名称	公司类型	融资阶段	标签	公司规模	公司所在地	职位类型	学历要求	福利	薪资	工作经验
221	第一创业证券股份有限公司	金融	上市公司	[]	2000人以上	福田区	开发/测试/运维类	本科	发展空间大,福利待遇好,工作氛围好,奖金	10k-20k	5-10年
222	深圳市中手游网络科技有限公司	移动互联网,游戏	上市公司	['节日礼物', '技能培训', '绩效奖金', '岗位晋升']	500-2000人	福田区	技术	本科	地铁周边、平台大大、福利多多	12k-20k	1-3年
223	深圳众禄基金销售股份有限公司	移动互联网,金融	上市公司	['股票期权', '绩效奖金', '带薪年假', '通讯津贴']	150-500人	罗湖区	开发/测试/运维类	本科	五险一金,高速发展,新三板,发展机会	20k-35k	3-5年
224	深圳凯石信息科技有限公司	移动互联网、金融	未融资	['节日礼物', '岗位晋升', '五险一金', '带薪年假']	50-150人	南山区	开发/测试/运维类	本科	六险一金,每周水果,月度聚餐,周末双休	13k-20k	3-5年
225	深圳市环球易购电子商务有限公司	电子商务	上市公司	['节日礼物', '股票期权', '带薪年假', '绩效奖金']	2000人以上	南山区	技术	大专	五险一金，年终奖，期权激励计划，A股上市	15k-25k	3-5年
226	武汉佰钧成技术有限责任公司	移动互联网	不需要融资	['带薪年假', '计算机软件', '管理规范', '定期体检']	2000人以上	南山区	开发/测试/运维类	本科	六险一金,做五休二,带薪年假,年度体检	10k-14k	3-5年
227	深圳市博悦科创科技有限公司	移动互联网	不需要融资	['年底双薪', '定期体检', '绩效奖金', '技能培训']	500-2000人	福田区	开发/测试/运维类	大专	前景好,福利好	10k-13k	1-3年
228	深圳市博奥特科技有限公司	移动互联网,金融	未融资	['绩效奖金', '领导好', '帅哥多', '美女多']	150-500人	罗湖区	开发/测试/运维类	大专	周未双休,金融行业,互联网技术	12k-20k	3-5年
229	深圳汇商通盈科技有限公司	移动互联网	A轮	['带薪年假', '年底双薪', '定期体检', '欢乐8090']	15-50人	南山区	开发/测试/运维类	本科	项目好,发展好,福利好	15k-20k	3-5年
230	深圳市知学云科技有限公司	移动互联网,教育	不需要融资	['责任', '创新', '分享', '激情']	150-500人	南山区	开发/测试/运维类	大专	专业培训,五险一金,弹性工作制,下午茶	15k-25k	3-5年
231	广东欧珀移动通信有限公司	移动互联网	不需要融资	['丰厚年终', '扁平管理', '追求极致', '本分']	2000人以上	南山区	开发/测试/运维类	本科	亿级用户，给力薪酬，大平台	15k-30k	3-5年
232	招联消费金融有限公司	金融	不需要融资	['节日礼物', '技能培训', '绩效奖金', '岗位晋升']	500-2000人	南山区	技术	本科	氛围好，有空间，有发展，有前途	12k-24k	3-5年
233	北京江融信科技有限公司	移动互联网,其他	B轮	['绩效奖金', '管理规范', '通讯津贴', '定期体检']	150-500人	罗湖区	开发/测试/运维类	本科	五险一金,年终分红,加班补助,通讯补贴	16k-30k	5-10年
234	北京环球友邻科技有限公司	移动互联网	不需要融资	['出国产品体验', '岗位晋升', '扁平管理', '管理规范']	500-2000人	南山区	开发/测试/运维类	本科	五险一金 晋升空间	12k-18k	3-5年
235	深圳市有信网络技术有限公司	移动互联网	B轮	['绩效奖金', '股票期权', '年底双薪', '年终分红']	150-500人	南山区	技术	本科	超多技术大牛 好福利 自有办公化氛围	15k-30k	3-5年
236	上海透云物联网科技有限公司	移动互联网,数据服务	上市公司	['年底双薪', '股票期权', '带薪年假', '扁平管理']	500-2000人	福田区	开发/测试/运维类	本科	晋升机制,绩效奖金,五险一金,扁平管理	20k-30k	5-10年
237	深圳梵修文化科技有限公司	移动互联网,数据服务	天使轮	[]	50-150人	龙岗区	开发/测试/运维类	本科	五险一金,节日福利,员工旅游,周末双休	15k-20k	3-5年
238	珠海市万翼网络科技有限公司	生活服务,硬件	上市公司	['绩效奖金', '岗位晋升', '管理规范', '通讯津贴']	2000人以上	南山区	开发/测试/运维类	本科	世界500强企业互联网产品	15k-30k	3-5年
239	深圳市华云中盛科技有限公司	数据服务,移动互联网	不需要融资	['绩效奖金', '带薪年假', '通讯津贴', '定期体检']	150-500人	南山区	开发/测试/运维类	本科	大神云集,AI项目,年度旅游,年终福利	10k-20k	3-5年
240	深圳点开智能科技有限公司	移动互联网,硬件	不需要融资	[]	15-50人	南山区	开发/测试/运维类	本科	项目奖金,五险一金,公司旅游	10k-18k	3-5年
241	深圳市博悦科创科技有限公司	移动互联网	不需要融资	['年底双薪', '定期体检', '绩效奖金', '技能培训']	500-2000人	南山区	开发/测试/运维类	大专	平台大,福利好	12k-16k	3-5年
242	武汉佰钧成技术有限责任公司	移动互联网	不需要融资	['带薪年假', '计算机软件', '管理规范', '定期体检']	2000人以上	南山区	开发/测试/运维类	本科	节日福利,法定假期,六险一金	10k-16k	3-5年
243	深圳市博奥特科技有限公司	移动互联网,金融	未融资	['绩效奖金', '领导好', '帅哥多', '美女多']	150-500人	南山区	开发/测试/运维类	本科	行业前景好,提升空间大	12k-24k	3-5年
244	深圳市华云中盛科技有限公司	数据服务,移动互联网	不需要融资	['绩效奖金', '带薪年假', '通讯津贴', '定期体检']	150-500人	南山区	开发/测试/运维类	大专	年终福利,年度旅游,项目奖金,团队奖金	15k-25k	5-10年
245	深圳市中合银金融控股有限公司	金融	不需要融资	['年底双薪', '绩效奖金', '带薪年假', '周末双休']	150-500人	南山区	开发/测试/运维类	本科	周末双休,五险一金	15k-20k	5-10年
246	深圳市云之讯网络技术有限公司	移动互联网	B轮	['竞争力月薪', '丰厚奖金', '骨干期权', '人性化福利']	150-500人	南山区	开发/测试/运维类	本科	B轮3亿,公司平台大,项目前景好,成长空间大	12k-20k	3-5年
247	深圳市可可网络科技有限公司	移动互联网	A轮	['团建活动', '五险一金', '年底双薪', '绩效奖金']	50-150人	福田区	开发/测试/运维类	本科	五险一金,年底双薪,绩效奖金,节日福利	10k-15k	3-5年
248	深圳市天下房仓科技有限公司	企业服务,旅游	B轮	['股票期权', '岗位晋升', '扁平管理', '带薪年假']	150-500人	龙华新区	开发/测试/运维类	本科	双休,节假日福利,年底双薪,多次调薪	10k-20k	3-5年
249	深圳光汇石油集团股份有限公司	其他	上市公司	['股票期权', '带薪年假', '五险一金', '午餐补助']	500-2000人	福田区	开发/测试/运维类	本科	上市公司,包吃,周末双休,五险一金	25k-35k	5-10年
250	汇金智融（北京）科技有限公司	移动互联网,电子商务	上市公司	['年底双薪', '绩效奖金', '带薪年假', '弹性工作']	150-500人	南山区	开发/测试/运维类	本科	节日福利,加班费,五险一金	10k-18k	3-5年
251	深圳和而泰智能控制股份有限公司	移动互联网	上市公司	['绩效奖金', '年终分红', '股票期权', '专项奖金']	2000人以上	光明新区	开发/测试/运维类	本科	上市公司,上升空间大	15k-25k	不限
252	深圳全棉时代科技有限公司	电子商务,其他	A轮	['技能培训', '节日礼物', '免费班车', '带薪年假']	500-2000人	龙华新区	开发/测试/运维类	大专	分布式平台,大数据平台,高并发系统,技术驱动	10k-16k	3-5年
253	维恩贝特科技有限公司	电子商务,金融	A轮	['年底双薪', '五险一金', '通讯津贴', '交通补助']	500-2000人	福田区	开发/测试/运维类	本科	福利待遇好,同事关系好,技术大咖多,公司环境好	10k-16k	3-5年
254	深圳市新星河网络技术开发有限公司	电子商务 移动互联网	未融资	['""']	15-50人	罗湖区	开发/测试/运维类	本科	双休,五险一金,分红奖金,五天七小时	20k-30k	5-10年
255	深圳萨摩耶互联网金融服务有限公司	金融	B轮	['技能培训', '年度旅游', '岗位晋升', '五险一金']	150-500人	南山区	技术	本科	优秀的互联网金融平台、待遇高、发展空间大	15k-30k	3-5年
256	武汉佰钧成技术有限责任公司	移动互联网	不需要融资	['带薪年假', '计算机软件', '管理规范', '定期体检']	2000人以上	南山区	开发/测试/运维类	本科	六险一金,做五休二,带薪年假,年度体检	10k-14k	3-5年
257	深圳市博奥特科技有限公司	移动互联网,金融	未融资	['绩效奖金', '领导好', '帅哥多', '美女多']	150-500人	南山区	开发/测试/运维类	大专	平安项目	10k-15k	3-5年
258	深圳全棉时代科技有限公司	电子商务,其他	A轮	['技能培训', '节日礼物', '免费班车', '带薪年假']	500-2000人	龙华新区	开发/测试/运维类	本科	大数据,分布式,技术驱动,工作氛围好	15k-25k	5-10年
259	支付宝(杭州)信息技术有限公司	金融,移动互联网	B轮	['年底双薪', '带薪年假', '股票期权', '绩效奖金']	2000人以上	南山区	开发/测试/运维类	本科	待遇优厚,薪水高,福利好,成长快	30k-60k	3-5年
260	信必优(深圳)信息技术有限公司	移动互联网,电子商务	未融资	['节日礼物', '年底双薪', '带薪年假', '年度旅游']	2000人以上	福田区	开发/测试/运维类	大专	13薪,8天年假,六险一金,其他福利	12k-15k	3-5年
261	深圳市吉粮商业管理有限公司	移动互联网,O2O	不需要融资	['绩效奖金', '带薪年假', '年终分红', '美女多']	150-500人	南山区	开发/测试/运维类	本科	平台空间大,待遇优厚,弹性工作	12k-18k	3-5年
262	海致网络技术(北京)有限公司	移动互联网,企业服务	C轮	['股票期权', '带薪年假', '弹性工作', '扁平管理']	150-500人	南山区	开发/测试/运维类	本科	氛围好,大牛多,发展前景,福利待遇	20k-30k	5-10年
263	深圳市博悦科创科技有限公司	移动互联网	不需要融资	['年底双薪', '定期体检', '绩效奖金', '技能培训']	500-2000人	南山区	开发/测试/运维类	大专	项目好，待遇佳，有发展前景	8k-15k	3-5年
264	深圳市英思奇信息咨询有限公司	移动互联网,电子商务	未融资	['年底双薪', '股票期权', '包吃\\包住']	50-150人	宝安区	开发/测试/运维类	本科	包吃,包住,税后薪资,带薪回国	20k-35k	3-5年
265	深圳云天励飞技术有限公司	移动互联网	A轮	['节日礼物', '带薪年假', '年度旅游', '开放务实']	150-500人	福田区	开发/测试/运维类	本科	独角兽,人工智能,成长快,气氛佳	20k-40k	3-5年
266	深圳市和讯华谷信息技术有限公司	移动互联网,数据服务	D轮及以上	['五险一金', '文体活动', '团建旅游', '美味晚餐']	150-500人	南山区	技术	本科	五险一金、14薪/年、下午茶、节日福利等等	15k-30k	3-5年
267	深圳广联赛讯有限公司	移动互联网	A轮	['五险一金', '通讯津贴', '带薪年假', '绩效奖金']	150-500人	南山区	技术	本科	技术管理发展方向车联网前景好晋升空间大	15k-25k	5-10年
268	上海海知智能科技有限公司	移动互联网,数据服务	A轮	['晋升空间大', '硅谷管理风格', '创新前沿', '尊重个性']	50-150人	南山区	开发/测试/运维类	本科	创新前沿,技术大牛,弹性工作,发展空间大	30k-50k	5-10年
269	深圳英迈思文化科技有限公司	移动互联网	B轮	['五险一金', '扁平管理', '岗位晋升', '技能培训']	500-2000人	宝安区	开发/测试/运维类	本科	办公环境佳,工作氛围佳,福利待遇佳,晋升机会多	6k-9k	1-3年
270	深圳亿腾信息科技有限公司	企业服务,移动互联网	不需要融资	['定期体检', '交通补助', '带薪年假', '年度旅游']	150-500人	福田区	开发/测试/运维类	本科	员工旅游，年终奖，员工聚餐，加班补助	11K-14K	3-5年
271	武汉佰钧成技术有限责任公司	移动互联网	不需要融资	['带薪年假', '计算机软件', '管理规范', '定期体检']	2000人以上	南山区	开发/测试/运维类	本科	六险一金,做五休二,带薪年假,年度体检	10k-14k	3-5年
272	深圳市博奥特科技有限公司	移动互联网,金融	未融资	['绩效奖金', '领导好', '帅哥多', '美女多']	150-500人	福田区	开发/测试/运维类	大专	五险一金,节日福利,大平台,升职空间大	14K-25K	5-10年
273	深圳云天励飞技术有限公司	移动互联网	A轮	['节日礼物', '带薪年假', '年度旅游', '开放务实']	150-500人	福田区	开发/测试/运维类	本科	大牛团队,生日节日礼	10k-20k	3-5年
274	信必优(深圳)信息技术有限公司	移动互联网,电子商务	未融资	['节日礼物', '年底双薪', '带薪年假', '年度旅游']	2000人以上	南山区	开发/测试/运维类	大专	双休,六险一金,年终奖,不加班	15k-18k	5-10年
275	海致网络技术(北京)有限公司	移动互联网,企业服务	C轮	['股票期权', '带薪年假', '弹性工作', '扁平管理']	150-500人	南山区	开发/测试/运维类	本科	技术氛围好,成长空间大	20k-40k	3-5年
276	滴滴优点科技（深圳）有限公司	移动互联网	A轮	['定期体检', '绩效奖金', '领导好', '五险一金']	50-150人	福田区	开发/测试/运维类	本科	周末双休,带薪年假,五险一金,员工福利	16k-32k	3-5年
277	深圳恒合互联网络科技有限公司	医疗健康	A轮	['股票期权', '绩效奖金', '带薪年假', '领导好']	150-500人	福田区	开发/测试/运维类	大专	上市公司,周末双休,带薪年假,年度旅游	15k-30k	5-10年
278	上海海万信息科技股份有限公司	移动互联网,金融	不需要融资	[]	500-2000人	福田区	开发/测试/运维类	大专	晋升空间大,年假,过节费	10k-20k	3-5年
279	深圳市小二软件技术有限公司	O2O、移动互联网	天使轮	[]	50-150人	南山区	开发/测试/运维类	大专	聚会旅游	16k-26k	5-10年
280	深圳达飞金融控股有限公司	移动互联网,金融	不需要融资	['节日礼物', '年底双薪', '股票期权', '带薪年假']	2000人以上	南山区	开发/测试/运维类	本科	五险一金，弹性工作，年终奖金，绩效奖金	25k-40k	3-5年
281	网宿科技股份有限公司北京分公司	移动互联网	上市公司	['年底双薪', '五险一金', '交通补助', '带薪年假']	2000人以上	南山区	技术	本科	扁平管理，各项补助，年度奖金，绩效奖金	18k-25k	5-10年
282	广东俊特团贷网络信息服务股份有限公司	移动互联网,金融	C轮	['节日礼物', '带薪年假', '年度旅游', '定期体检']	2000人以上	南山区	开发/测试/运维类	本科	TOP10、空间大、福利棒、班车	15k-30k	3-5年
283	上海海知智能科技有限公司	移动互联网,数据服务	A轮	['晋升空间大', '硅谷管理风格', '创新前沿', '尊重个性']	50-150人	南山区	开发/测试/运维类	本科	创新前沿,弹性工作,技术大牛,发展空间大	20k-40k	3-5年
284	上海海钜信达金融信息服务有限公司	金融	不需要融资	['带薪年假', '岗位晋升', '交通补助', '五险一金']	500-2000人	福田区	开发/测试/运维类	大专	五险一金,绩效奖金,员工旅游,专业培训	10k-20k	3-5年
285	青石经济信息咨询（深圳）有限公司	移动互联网,金融	不需要融资	['风口项目', '互联网金融', '海外综合券商', '市场蓝海']	50-150人	南山区	开发/测试/运维类	本科	券商潜力股,技术牛人,金融大咖,氛围好	15k-30k	3-5年
286	武汉佰钧成技术有限责任公司	移动互联网	不需要融资	['带薪年假', '计算机软件', '管理规范', '定期体检']	2000人以上	龙华新区	开发/测试/运维类	大专	大数据项目,领导好	20k-28k	5-10年
287	上海海万信息科技股份有限公司	移动互联网,金融	不需要融资	[]	500-2000人	南山区	开发/测试/运维类	大专	五险一金,带薪年假,周末双休,节日福利	10k-16k	3-5年
288	信必优(深圳)信息技术有限公司	移动互联网,电子商务	未融资	['节日礼物', '年底双薪', '带薪年假', '年度旅游']	2000人以上	南山区	开发/测试/运维类	不限	六险一金,年终奖,弹性工作制,试用期无折	10k-20k	3-5年
289	深圳宜聚互联网金融服务有限公司	移动互联网,金融	不需要融资	['午餐补助', '交通补助', '通讯津贴', '带薪年假']	2000人以上	福田区	开发/测试/运维类	大专	平台大,妹子多,氛围好,福利多	20k-30k	5-10年
290	深圳瀚德金融科技控股有限公司	金融	不需要融资	['绩效奖金', '午餐补助', '定期体检', '带薪年假']	150-500人	南山区	开发/测试/运维类	本科	股票期权,绩效奖金,带薪年假,领导好	15k-20k	3-5年
291	深圳市金证科技股份有限公司	金融	上市公司	['激情的团队', '股票期权', '努力变大牛', '有舞台给您跳']	2000人以上	南山区	开发/测试/运维类	本科	总部福利,晋升空间大,牛人团队,90后团队	10k-15k	3-5年
292	广东翼卡车联网服务有限公司	移动互联网	A轮	['专项奖金', '绩效奖金', '通讯津贴', '午餐补助']	150-500人	南山区	技术	大专	双休 绩效奖 年终奖 餐补 水果下午茶	15k-25k	5-10年
293	深圳市思迪信息技术股份有限公司	移动互联网,金融	B轮	['定期体检', '通讯津贴', '带薪年假', '每周双休']	500-2000人	南山区	开发/测试/运维类	本科	五险一金,周末双休,弹性上班,年度体检	10k-18k	3-5年
294	深圳市云杉智行信息技术有限公司	移动互联网	A轮	['交通补助', '绩效奖金', '通讯津贴', '午餐补助']	150-500人	南山区	开发/测试/运维类	本科	福利好,领导强,待遇佳,前景好	15k-25k	3-5年
295	深圳市华云中盛科技有限公司	数据服务,移动互联网	不需要融资	['绩效奖金', '带薪年假', '通讯津贴', '定期体检']	150-500人	南山区	开发/测试/运维类	大专	五险一金,年度旅游,年度体检,年终福利	15k-25k	3-5年
296	深圳市神盾信息技术有限公司	移动互联网	不需要融资	['专项奖金', '带薪年假', '绩效奖金', '通讯津贴']	50-150人	南山区	开发/测试/运维类	本科	年底双薪,有薪年假,员工旅游,周末双休	8k-16k	3-5年
297	中民珠宝（深圳）有限公司	移动互联网,其他	不需要融资	['绩效奖金', '年终分红', '带薪年假', '专项奖金']	15-50人	罗湖区	开发/测试/运维类	本科	五险一金,年底双薪,绩效奖金,餐补	15k-25k	3-5年
298	深圳市财鸟汇网络科技有限公司	金融	不需要融资	['年底双薪', '股票期权', '年终分红', '带薪年假']	50-150人	南山区	开发/测试/运维类	本科	公司估值高,团队牛,奖金丰厚,发展前景好	15k-25k	3-5年
299	联想（北京）有限公司	移动互联网,数据服务	上市公司	['技能培训', '待遇优厚', '晋升空间', '五险一金']	2000人以上	南山区	开发/测试/运维类	本科	上升空间大	10k-13k	1-3年
300	深圳市世强先进科技有限公司	电子商务,O2O	不需要融资	['创业团队持股', '年度旅游', '五天工作制', '至少15薪']	150-500人	龙岗区	开发/测试/运维类	本科	15薪！大平台！行业标杆 ！扁平管理！	10k-18k	3-5年
301	武汉佰钧成技术有限责任公司	移动互联网	不需要融资	['带薪年假', '计算机软件', '管理规范', '定期体检']	2000人以上	南山区	开发/测试/运维类	不限	五险一金,周末双休,带薪年假	8k-16k	3-5年
302	深圳市金证科技股份有限公司	金融	上市公司	['激情的团队', '股票期权', '努力变大牛', '有舞台给您跳']	2000人以上	南山区	开发/测试/运维类	本科	上市公司,扁平管理,节日福利,诱人年终	13k-20k	3-5年
303	深圳和而泰智能控制股份有限公司	移动互联网	上市公司	['绩效奖金', '年终分红', '股票期权', '专项奖金']	2000人以上	南山区	开发/测试/运维类	本科	上市公司,大牛团队,丰富下午茶,晋升空间广	20k-30k	5-10年
304	上海山屿海投资集团有限公司	金融,移动互联网	不需要融资	[]	150-500人	南山区	开发/测试/运维类	本科	公司环境好,团队氛围好,公司活动多,有技术挑战	18k-35k	5-10年
305	深圳市成为智能交通系统有限公司	移动互联网,硬件	B轮	['节日礼物', '绩效奖金', '岗位晋升', '扁平管理']	150-500人	南山区	开发/测试/运维类	本科	月度奖金,五险一金,项目奖金,免费午餐	18k-25k	5-10年
306	深圳市和讯华谷信息技术有限公司	移动互联网,数据服务	D轮及以上	['五险一金', '文体活动', '团建旅游', '美味晚餐']	150-500人	南山区	开发/测试/运维类	本科	D轮+,14薪+,大数据平台,弹性工作	20k-35k	5-10年
307	深圳市博奥特科技有限公司	移动互联网,金融	未融资	['绩效奖金', '领导好', '帅哥多', '美女多']	150-500人	南山区	开发/测试/运维类	本科	技术较新,互联网技术,周末双休,五险一金	12k-18k	3-5年
308	信必优(深圳)信息技术有限公司	移动互联网,电子商务	未融资	['节日礼物', '年底双薪', '带薪年假', '年度旅游']	2000人以上	福田区	开发/测试/运维类	大专	13薪,8天年假,六险一金,其他福利	18k-20k	5-10年
309	马上消费金融股份有限公司	金融,移动互联网	不需要融资	['股票期权', '年终分红', '绩效奖金', '带薪年假']	2000人以上	福田区	开发/测试/运维类	本科	公司资质优越，市场份额大	15k-25k	5-10年
310	深圳小马过河教育咨询有限公司	移动互联网,教育	天使轮	[]	15-50人	罗湖区	开发/测试/运维类	本科	交通便利,氛围轻松,扁平沟通	15k-25k	3-5年
311	深圳市博悦科创科技有限公司	移动互联网	不需要融资	['年底双薪', '定期体检', '绩效奖金', '技能培训']	500-2000人	福田区	开发/测试/运维类	本科	福利好,薪资高,平台大	11k-15k	1-3年
312	珠海凡泰极客科技有限责任公司	金融,社交网络	A轮	['金融科技', '带薪年假', '绩效奖金', '扁平管理']	50-150人	南山区	开发/测试/运维类	本科	交易系统,金融科技	18k-36k	3-5年
313	深圳中业兴融互联网金融服务有限公司	金融,移动互联网	A轮	['带薪年假', '孝心基金', '股权激励', '约会假']	500-2000人	南山区	开发/测试/运维类	本科	综合型集团,年轻又耐撕,低调有实力	15k-25k	3-5年
314	任子行网络技术股份有限公司	移动互联网	上市公司	['年终奖金', '绩效奖金', '年度旅游', '美女多']	500-2000人	南山区	开发/测试/运维类	本科	成长快	10k-20k	3-5年
315	深圳知云网络科技有限公司	企业服务	未融资	['专项奖金', '带薪年假', '弹性工作', '扁平管理']	2000人以上	南山区	开发/测试/运维类	本科	平台大,上升空间大,扁平化管理,福利待丰厚	15k-30k	3-5年
316	武汉佰钧成技术有限责任公司	移动互联网	不需要融资	['带薪年假', '计算机软件', '管理规范', '定期体检']	2000人以上	龙岗区	开发/测试/运维类	大专	双休	13k-25k	5-10年
317	深圳市博悦科创科技有限公司	移动互联网	不需要融资	['年底双薪', '定期体检', '绩效奖金', '技能培训']	500-2000人	南山区	开发/测试/运维类	本科	福利待遇好，发展空间大	9k-17k	3-5年
318	深圳市博奥特科技有限公司	移动互联网,金融	未融资	['绩效奖金', '领导好', '帅哥多', '美女多']	150-500人	福田区	开发/测试/运维类	大专	靠近地铁,五险一金,节日福利,周末双休	9k-16k	3-5年
319	广州云移信息科技有限公司	移动互联网,O2O	B轮	['股票期权', '岗位晋升', '扁平管理', '领导好']	500-2000人	福田区	开发/测试/运维类	大专	免费下午茶、定期体检、各项福利	12k-18k	3-5年
320	三元色数码科技有限公司	移动互联网	天使轮	['节日礼物', '带薪年假', '绩效奖金', '年度旅游']	50-150人	南山区	开发/测试/运维类	大专	技能培训,五险一金,年度旅游,年底双薪	20k-30k	3-5年
321	深圳爱问科技股份有限公司	移动互联网,社交网络	不需要融资	['五险一金', '午餐补助', '绩效奖金', '年终奖金']	50-150人	南山区	开发/测试/运维类	大专	互联网上市企业 薪资福利好 发展平台广	11k-17k	3-5年
322	深圳前海无限科技有限公司	移动互联网,金融	A轮	['股票期权', '年底双薪', '绩效奖金', '带薪年假']	15-50人	南山区	开发/测试/运维类	本科	五险一金,年终奖,带薪年假,双休	10k-20k	3-5年
323	深圳市耀京科技有限公司	教育,企业服务	A轮	['期权股权', '晚餐补助', '带薪年假', '友好氛围']	50-150人	南山区	开发/测试/运维类	本科	领导好,团队氛围好,技术分享,朝阳行业	15k-25k	3-5年
324	深圳英迈思文化科技有限公司	移动互联网	B轮	['五险一金', '扁平管理', '岗位晋升', '技能培训']	500-2000人	宝安区	开发/测试/运维类	大专	互联网软件	8k-15k	3-5年
325	北京瑞友科技股份有限公司	移动互联网,电子商务	上市公司	[]	2000人以上	南山区	开发/测试/运维类	本科	做五休二,带薪年假	10k-16k	3-5年
326	黑龙江省容维证券数据程序化有限公司深圳分公司	金融	不需要融资	['年底双薪', '带薪年假', '交通补助', '专项奖金']	150-500人	南山区	开发/测试/运维类	本科	双休,弹性,年终奖	15k-25k	3-5年
327	越信智能科技（深圳）有限公司	金融	不需要融资	['""']	15-50人	南山区	开发/测试/运维类	本科	高薪,挑战和成长,团队激情	20k-35k	3-5年
328	信必优(深圳)信息技术有限公司	移动互联网,电子商务	未融资	['节日礼物', '年底双薪', '带薪年假', '年度旅游']	2000人以上	福田区	开发/测试/运维类	大专	分布式,高并发,金融项目,假期多	18k-21k	3-5年
329	深圳市安印科技有限公司	移动互联网,信息安全	不需要融资	['年底双薪', '带薪年假', '绩效奖金', '定期体检']	150-500人	南山区	开发/测试/运维类	本科	公司环境好,福利待遇佳	10k-20k	3-5年
330	诚迈科技（南京）股份有限公司	移动互联网	上市公司	['年底双薪', '专项奖金', '交通补助', '午餐补助']	2000人以上	福田区	开发/测试/运维类	大专	五险一金,递增年假,带薪病假,团体旅游	12k-24k	3-5年
331	武汉佰钧成技术有限责任公司	移动互联网	不需要融资	['带薪年假', '计算机软件', '管理规范', '定期体检']	2000人以上	龙华新区	开发/测试/运维类	大专	项目不错,领导好	17k-25k	5-10年
332	深圳英迈思文化科技有限公司	移动互联网	B轮	['五险一金', '扁平管理', '岗位晋升', '技能培训']	500-2000人	宝安区	开发/测试/运维类	大专	福利待遇佳,工作氛围佳,晋升机会多,领导好	8k-16k	1-3年
333	支付宝(杭州)信息技术有限公司	金融,移动互联网	B轮	['年底双薪', '带薪年假', '股票期权', '绩效奖金']	2000人以上	福田区	开发/测试/运维类	本科	国际化,高并发,分布式,高可用	15k-30k	3-5年
334	深圳市前海亿车科技有限公司	移动互联网,数据服务	A轮	['节日礼物', '年底双薪', '股票期权', '带薪年假']	150-500人	宝安区	开发/测试/运维类	本科	领导好,工作氛围好,美女多	10k-20k	1-3年
335	纷腾科技（深圳）有限公司	移动互联网 金融	天使轮	['绩效奖金', '弹性工作', '年度旅游', '扁平管理']	15-50人	南山区	开发/测试/运维类	本科	牛人多,绩效奖,环境轻松,福利佳	13k-18k	3-5年
336	深圳市英威诺科技有限公司	移动互联网,数据服务	C轮	['五险一金', '带薪年假', '节日礼物', '岗位晋升']	150-500人	南山区	技术	本科	发展空间大，弹性工作，股票期权，待遇优厚	30k-40k	5-10年
337	珠海云迈网络科技有限公司	移动互联网	A轮	['带薪年假', '绩效奖金', '年度旅游', '扁平管理']	50-150人	南山区	开发/测试/运维类	本科	季度奖年度,季度游年度,牛人多,氛围轻松	20k-25k	3-5年
338	深圳银盛金融集团有限公司	移动互联网,金融	不需要融资	['节日礼物', '带薪年假', '绩效奖金', '年度旅游']	500-2000人	龙华区	技术	本科	五险一金 法定假日 年度体检 年底分红	10k-20k	3-5年
339	深圳中正信息科技有限公司	移动互联网,O2O	天使轮	['股票期权', '年底双薪', '弹性工作', '领导好']	15-50人	南山区	开发/测试/运维类	本科	上升空间大,期权激励,深大地铁口,科技园地标	10k-18k	3-5年
340	深圳市博奥特科技有限公司	移动互联网,金融	未融资	['绩效奖金', '领导好', '帅哥多', '美女多']	150-500人	福田区	开发/测试/运维类	大专	岗位稳定,福利待遇好,五险一金	10k-15k	3-5年
341	万惠投资管理有限公司	金融	上市公司	['互联网金融', '技能培训', '带薪年假', '充满挑战']	500-2000人	南山区	开发/测试/运维类	本科	微服务技术,技术大牛,轻松氛围	15k-25k	5-10年
342	深圳市开源通信有限公司	硬件	未融资	['管理规范', '五险一金']	50-150人	龙华新区	开发/测试/运维类	本科	五险一金,周末双休,提供住宿,带薪年假	7k-13k	3-5年
343	上海海万信息科技股份有限公司	移动互联网,金融	不需要融资	[]	500-2000人	福田区	开发/测试/运维类	本科	年终奖,过节费,旅游,体检	20k-30k	5-10年
344	深圳市中交出行科技有限公司	移动互联网,企业服务	未融资	['带薪年假', '绩效奖金', '定期体检', '年度旅游']	50-150人	南山区	开发/测试/运维类	本科	绩效奖金,项目奖金,加班零食,年度旅游	9k-18k	3-5年
345	北京通力互联技术服务有限公司	电子商务,企业服务	不需要融资	['绩效奖金', '交通补助', '定期体检', '通讯津贴']	2000人以上	福田区	开发/测试/运维类	不限	大数据项目，工作稳定，五险一金，节日福利	10k-15k	3-5年
346	武汉佰钧成技术有限责任公司	移动互联网	不需要融资	['带薪年假', '计算机软件', '管理规范', '定期体检']	2000人以上	龙华新区	开发/测试/运维类	大专	项目有前景	10k-16k	3-5年
347	深圳市长亮科技股份有限公司	企业服务	上市公司	['五险一金', '通讯津贴', '带薪年假', '定期体检']	2000人以上	南山区	开发/测试/运维类	本科	六险一金,双休	10k-13k	3-5年
348	深圳市金证科技股份有限公司	金融	上市公司	['激情的团队', '股票期权', '努力变大牛', '有舞台给您跳']	2000人以上	南山区	开发/测试/运维类	本科	证券金融,股权激励	15k-30k	5-10年
349	上海海万信息科技股份有限公司	移动互联网,金融	不需要融资	[]	500-2000人	福田区	开发/测试/运维类	本科	过节费,年终奖,旅游,体检	12k-20k	3-5年
