公司名称	公司类型	融资阶段	标签	公司规模	公司所在地	职位类型	学历要求	福利	薪资	工作经验
29	深圳闻善科技有限公司	移动互联网,硬件	不需要融资	['扁平管理', '领导好', '技能培训']	50-150人	福田区	开发/测试/运维类	本科	世界五十强,交通便利,五险一金,福利优渥	25k-40k	5-10年
30	合德瀚网络科技（深圳）有限公司	移动互联网,企业服务	不需要融资	['岗位晋升', '五险一金', '带薪年假', '领导好']	15-50人	宝安区	开发/测试/运维类	本科	高薪,福利好,奖金多,高并发挑战	10k-20k	3-5年
31	深圳市紫川软件有限公司	电子商务,金融	不需要融资	['节日礼物', '年底双薪', '绩效奖金', '岗位晋升']	500-2000人	福田区	技术	大专	逢年过节有过节福利(包括六一儿童节)；	9k-16k	3-5年
32	试金石信用服务有限公司	数据服务,移动互联网	不需要融资	['绩效奖金', '带薪年假', '交通补助', '午餐补助']	50-150人	南山区	技术	本科	行业前景好、大牛团队	15k-30k	5-10年
33	武汉佰钧成技术有限责任公司	移动互联网	不需要融资	['带薪年假', '计算机软件', '管理规范', '定期体检']	2000人以上	龙华新区	开发/测试/运维类	大专	薪资靠谱18-25	18K-25K	3-5年
34	深圳市铱云云计算有限公司	企业服务,数据服务	B轮	['技能培训', '年底双薪', '股票期权', '带薪年假']	150-500人	南山区	开发/测试/运维类	本科	独立自主的工作平台及开放的氛围	15k-25k	3-5年
35	深圳市致远优学教育科技有限公司	移动互联网	不需要融资	[]	500-2000人	福田区	技术	本科	高薪资、大平台	10k-15k	3-5年
36	深圳风林火山电脑技术有限公司	游戏	不需要融资	['四点半下班', '优越工作环境', '购房无息贷款', '马拉松爱好者']	50-150人	南山区	技术	本科	4点半下班 &amp; 超高效团队 &amp; 傲娇商务午餐	15k-25k	3-5年
37	深圳花儿绽放网络科技股份有限公司	移动互联网,广告营销	上市公司	['节日礼物', '年底双薪', '股票期权', '带薪年假']	50-150人	南山区	技术	本科	牛人多 扁平管理 氛围好	10k-15k	3-5年
38	上海海知智能科技有限公司	移动互联网,数据服务	A轮	['晋升空间大', '硅谷管理风格', '创新前沿', '尊重个性']	50-150人	南山区	开发/测试/运维类	本科	创新前沿,发展空间大,弹性工作,技术大牛	15k-25k	1-3年
39	深圳百胜扬工业电子商务平台发展有限公司	移动互联网,电子商务	A轮	['股票期权', '技能培训', '岗位晋升', '五险一金']	15-50人	南山区	开发/测试/运维类	本科	高薪,股权,旅游,五险一金	10k-20k	3-5年
